"id","apc_list.value","apc_paid.value","authorships.author.display_name","authorships.author.id","authorships.author.orcid","authorships.countries","authorships.institutions.display_name","authorships.institutions.id","authorships.is_corresponding","best_oa_location.license","citation_normalized_percentile.value","cited_by_count","corresponding_institution_ids","display_name","doi","funders.display_name","fwci","ids.pmid","is_retracted","language","open_access.is_oa","open_access.oa_status","primary_location.source.display_name","primary_location.source.id","primary_location.source.issn_l","primary_location.source.type","primary_topic.display_name","publication_date","publication_year","type"
"https://openalex.org/W2769342982",1990,1990,"Jakub Kužílek|Martin Hlosta|Zdeněk Zdráhal","https://openalex.org/A5027277030|https://openalex.org/A5029499941|https://openalex.org/A5109136039","https://orcid.org/0000-0002-8656-0599|https://orcid.org/0000-0002-7053-7052|","CZ|GB|GB|CZ|GB","The Open University|Czech Technical University in Prague|The Open University|The Open University|Czech Technical University in Prague","https://openalex.org/I204136569|https://openalex.org/I44504214|https://openalex.org/I204136569|https://openalex.org/I204136569|https://openalex.org/I44504214","True|False|False","cc-by",0.99641324,432,"https://openalex.org/I204136569|https://openalex.org/I44504214","Open University Learning Analytics dataset","https://doi.org/10.1038/sdata.2017.171","",28.2107,"https://pubmed.ncbi.nlm.nih.gov/29182599","False","en","True","gold","Scientific Data","https://openalex.org/S2607323502","2052-4463","journal","Online Learning and Analytics","2017-11-28",2017,"article"
"https://openalex.org/W2264893711",NA,NA,"Petri Ihantola|Arto Vihavainen|Alireza Ahadi|Matthew Butler|Jürgen Börstler|Stephen H. Edwards|Essi Isohanni|Ari Korhonen|Andrew Petersen|Kelly Rivers|Miguel A. Rubio|Judy Sheard|Bronius Skūpas|Jaime Spacco|Claudia Szabo|Daniel Toll","https://openalex.org/A5033863786|https://openalex.org/A5035948107|https://openalex.org/A5017006322|https://openalex.org/A5078170988|https://openalex.org/A5091158126|https://openalex.org/A5076981879|https://openalex.org/A5078347609|https://openalex.org/A5005341681|https://openalex.org/A5047964559|https://openalex.org/A5077465604|https://openalex.org/A5087650256|https://openalex.org/A5022993892|https://openalex.org/A5033434012|https://openalex.org/A5017333566|https://openalex.org/A5016821538|https://openalex.org/A5103115159","https://orcid.org/0000-0003-1197-7266||https://orcid.org/0000-0002-2018-3065|https://orcid.org/0000-0002-7950-5495|https://orcid.org/0000-0003-0639-4234|https://orcid.org/0000-0002-5162-9314||https://orcid.org/0000-0002-2784-7979|https://orcid.org/0000-0003-1337-7985|https://orcid.org/0000-0002-7004-8080|https://orcid.org/0000-0002-1200-6405|https://orcid.org/0000-0002-4179-8149||https://orcid.org/0000-0001-6955-0754|https://orcid.org/0000-0003-2501-1155|https://orcid.org/0000-0001-5656-5236","FI|FI|AU|AU|SE|US|FI|FI|CA|US|ES|AU|LT|US|AU|SE","Tampere University|University of Helsinki|University of Technology Sydney|Monash University|Blekinge Institute of Technology|Virginia Tech|Tampere University|Aalto University|University of Toronto|Carnegie Mellon University|Universidad de Granada|Monash University|Vilnius University|Knox College|University of Adelaide|Linnaeus University","https://openalex.org/I4210133110|https://openalex.org/I133731052|https://openalex.org/I114017466|https://openalex.org/I56590836|https://openalex.org/I52719799|https://openalex.org/I859038795|https://openalex.org/I4210133110|https://openalex.org/I9927081|https://openalex.org/I185261750|https://openalex.org/I74973139|https://openalex.org/I173304897|https://openalex.org/I56590836|https://openalex.org/I173212132|https://openalex.org/I42387498|https://openalex.org/I5681781|https://openalex.org/I223464139","True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False","",0.99544274,312,"https://openalex.org/I4210133110","Educational Data Mining and Learning Analytics in Programming","https://doi.org/10.1145/2858796.2858798","",30.3988,"","False","en","True","gold","","","","","Online Learning and Analytics","2015-07-04",2015,"article"
"https://openalex.org/W2612059685",NA,NA,"Ali Daud|Naif Radi Aljohani|Rabeeh Ayaz Abbasi|Miltiadis D. Lytras|Farhat Abbas|Jalal S. Alowibdi","https://openalex.org/A5084703478|https://openalex.org/A5059603729|https://openalex.org/A5037402563|https://openalex.org/A5019119605|https://openalex.org/A5022372336|https://openalex.org/A5018783541","https://orcid.org/0000-0002-8284-6354|https://orcid.org/0000-0001-9153-1293|https://orcid.org/0000-0002-3787-7039|https://orcid.org/0000-0002-7281-5458|https://orcid.org/0000-0002-2032-8527|https://orcid.org/0000-0003-4928-4246","SA|SA|SA|GR|PK|SA","King Abdulaziz University|King Abdulaziz University|King Abdulaziz University|The American College of Greece|International Islamic University, Islamabad|Jeddah University","https://openalex.org/I185163786|https://openalex.org/I185163786|https://openalex.org/I185163786|https://openalex.org/I230915877|https://openalex.org/I121243025|https://openalex.org/I4210099699","True|False|False|False|False|False","cc-by",0.99695685,235,"https://openalex.org/I185163786","Predicting Student Performance using Advanced Learning Analytics","https://doi.org/10.1145/3041021.3054164","",31.3483,"","False","en","True","gold","","","","","Online Learning and Analytics","2017-01-01",2017,"article"
"https://openalex.org/W3118164373",2300,2300,"Abdallah Namoun|Abdullah Alshanqiti","https://openalex.org/A5088009854|https://openalex.org/A5010928963","https://orcid.org/0000-0002-7050-0532|https://orcid.org/0000-0002-6080-5236","SA|SA","Islamic University of Madinah|Islamic University of Madinah","https://openalex.org/I4210151290|https://openalex.org/I4210151290","True|False","cc-by",0.99871613,417,"https://openalex.org/I4210151290","Predicting Student Performance Using Data Mining and Learning Analytics Techniques: A Systematic Literature Review","https://doi.org/10.3390/app11010237","",44.8734,"","False","en","True","gold","Applied Sciences","https://openalex.org/S4210205812","2076-3417","journal","Online Learning and Analytics","2020-12-29",2020,"article"
"https://openalex.org/W4300484403",1400,1400,"Sdenka Zobeida Salas‐Pilco|Kejiang Xiao|Xinyun Hu","https://openalex.org/A5090383550|https://openalex.org/A5101622204|https://openalex.org/A5035552494","https://orcid.org/0000-0002-5752-9525|https://orcid.org/0000-0003-1459-7162|https://orcid.org/0000-0002-7469-6296","CN|CN|HK","Central China Normal University|Central China Normal University|Education University of Hong Kong","https://openalex.org/I40963666|https://openalex.org/I40963666|https://openalex.org/I4210086892","False|True|False","cc-by",0.99823814,247,"https://openalex.org/I40963666","Artificial Intelligence and Learning Analytics in Teacher Education: A Systematic Review","https://doi.org/10.3390/educsci12080569","National Natural Science Foundation of China|Central China Normal University",45.8642,"","False","en","True","gold","Education Sciences","https://openalex.org/S2738008561","2227-7102","journal","Online Learning and Analytics","2022-08-20",2022,"review"
"https://openalex.org/W4252599113",NA,NA,"Ryan S. Baker|Taylor Martin|Lisa M. Rossi","https://openalex.org/A5088695714|https://openalex.org/A5103109463|https://openalex.org/A5038031556","https://orcid.org/0000-0002-3051-3232|https://orcid.org/0000-0001-9785-0017|","||","","","True|False|False","",0.97494795,163,"","Educational Data Mining and Learning Analytics","https://doi.org/10.1002/9781118956588.ch16","",6.092,"","False","en","True","gold","","","","","Intelligent Tutoring Systems and Adaptive Learning","2016-11-26",2016,"book-chapter"
"https://openalex.org/W3110511009",2400,2400,"Su Mu|Meng Cui|Xiaodi Huang","https://openalex.org/A5101451065|https://openalex.org/A5103141049|https://openalex.org/A5072380374","https://orcid.org/0000-0002-7885-5725|https://orcid.org/0000-0003-2916-4618|https://orcid.org/0000-0002-6084-1851","CN|CN|AU","South China Normal University|South China Normal University|Charles Sturt University","https://openalex.org/I187400657|https://openalex.org/I187400657|https://openalex.org/I153230381","False|True|False","cc-by",0.98353891,122,"https://openalex.org/I187400657","Multimodal Data Fusion in Learning Analytics: A Systematic Review","https://doi.org/10.3390/s20236856","National Natural Science Foundation of China",10.9634,"https://pubmed.ncbi.nlm.nih.gov/33266131","False","en","True","gold","Sensors","https://openalex.org/S101949793","1424-8220","journal","Online Learning and Analytics","2020-11-30",2020,"review"
"https://openalex.org/W4392769397",1800,1800,"Riordan Alfredo|Vanessa Echeverría|Yueqiao Jin|Lixiang Yan|Zachari Swiecki|Dragan Gašević|Roberto Martínez‐Maldonado","https://openalex.org/A5054207932|https://openalex.org/A5067966650|https://openalex.org/A5079899006|https://openalex.org/A5041301106|https://openalex.org/A5054856064|https://openalex.org/A5036855560|https://openalex.org/A5052017575","https://orcid.org/0000-0001-5440-6143|https://orcid.org/0000-0002-2022-9588|https://orcid.org/0009-0003-7309-4984|https://orcid.org/0000-0003-3818-045X|https://orcid.org/0000-0002-7414-5507|https://orcid.org/0000-0001-9265-1908|https://orcid.org/0000-0002-8375-1816","AU|AU|EC|AU|AU|AU|AU|AU","Monash University|Escuela Superior Politecnica del Litoral|Monash University|Monash University|Monash University|Monash University|Monash University|Monash University","https://openalex.org/I56590836|https://openalex.org/I2135383|https://openalex.org/I56590836|https://openalex.org/I56590836|https://openalex.org/I56590836|https://openalex.org/I56590836|https://openalex.org/I56590836|https://openalex.org/I56590836","True|False|False|False|False|False|False","cc-by-nc",0.99843418,133,"https://openalex.org/I56590836","Human-centred learning analytics and AI in education: A systematic literature review","https://doi.org/10.1016/j.caeai.2024.100215","Australian Government|Monash University|Jacobs Foundation|Australian Research Council",52.2961,"","False","en","True","gold","Computers and Education Artificial Intelligence","https://openalex.org/S4210183364","2666-920X","journal","Online Learning and Analytics","2024-03-13",2024,"article"
"https://openalex.org/W2566808795",2950,2950,"Lynne D. Roberts|Joel Howell|Kristen Seaman|David Gibson","https://openalex.org/A5060551104|https://openalex.org/A5005182661|https://openalex.org/A5079889173|https://openalex.org/A5054924244","https://orcid.org/0000-0003-0085-9213|https://orcid.org/0000-0001-8082-4912|https://orcid.org/0000-0002-2911-5149|https://orcid.org/0000-0003-1053-4690","AU|AU|AU|AU","Curtin University|Curtin University|Curtin University|Curtin University","https://openalex.org/I205640436|https://openalex.org/I205640436|https://openalex.org/I205640436|https://openalex.org/I205640436","True|False|False|False","cc-by",0.98758357,131,"https://openalex.org/I205640436","Student Attitudes toward Learning Analytics in Higher Education: “The Fitbit Version of the Learning World”","https://doi.org/10.3389/fpsyg.2016.01959","Curtin University of Technology",17.1044,"https://pubmed.ncbi.nlm.nih.gov/28066285","False","en","True","gold","Frontiers in Psychology","https://openalex.org/S9692511","1664-1078","journal","Online Learning and Analytics","2016-12-19",2016,"article"
"https://openalex.org/W3033604406",2300,2300,"Raza Hasan|Sellappan Palaniappan|Salman Mahmood|Ali Hashim Abbas|Kamal Uddin Sarker|Mian Usman Sattar","https://openalex.org/A5065521530|https://openalex.org/A5016806852|https://openalex.org/A5077410561|https://openalex.org/A5085011671|https://openalex.org/A5059316070|https://openalex.org/A5070620090","https://orcid.org/0000-0002-8089-837X|https://orcid.org/0000-0002-7650-8404|https://orcid.org/0000-0003-2860-4095|https://orcid.org/0000-0002-7947-7025|https://orcid.org/0000-0003-0206-1475|https://orcid.org/0000-0003-1457-3021","MY|OM|MY|MY|OM|MY|MY","Middle East College|Malaysia University of Science and Technology|Malaysia University of Science and Technology|Malaysia University of Science and Technology|Middle East College|Universiti Malaysia Terengganu|Malaysia University of Science and Technology","https://openalex.org/I204409756|https://openalex.org/I4210147344|https://openalex.org/I4210147344|https://openalex.org/I4210147344|https://openalex.org/I204409756|https://openalex.org/I157696592|https://openalex.org/I4210147344","True|False|False|False|False|False","cc-by",0.99756669,177,"https://openalex.org/I204409756|https://openalex.org/I4210147344","Predicting Student Performance in Higher Educational Institutions Using Video Learning Analytics and Data Mining Techniques","https://doi.org/10.3390/app10113894","Ministerio de Economía y Competitividad",29.5591,"","False","en","True","gold","Applied Sciences","https://openalex.org/S4210205812","2076-3417","journal","Online Learning and Analytics","2020-06-04",2020,"article"
